{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '10',
 '--vis': None,
 '-o': 'vae_10',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 10 VAE samples per instance
Using a batchsize of 8192 instances
   162.6s of 3600.0s  [97] batch 194, E[obj] -36.2365,  9718.57 S/s, 1589248 total
   164.3s of 3600.0s  [98] batch 196, E[obj] -27.7580,  9726.23 S/s, 1605632 total
   166.0s of 3600.0s  [99] batch 198, E[obj] -33.8842,  9920.98 S/s, 1622016 total
   167.6s of 3600.0s  [100] batch 200, E[obj] -30.0206,  9934.03 S/s, 1638400 total
   169.3s of 3600.0s  [101] batch 202, E[obj] -34.1865,  9750.23 S/s, 1654784 total
   171.0s of 3600.0s  [102] batch 204, E[obj] -34.2343,  9757.54 S/s, 1671168 total
   172.7s of 3600.0s  [103] batch 206, E[obj] -35.4839,  9639.46 S/s, 1687552 total
   174.3s of 3600.0s  [104] batch 208, E[obj] -11.9438,  9857.40 S/s, 1703936 total
   176.0s of 3600.0s  [105] batch 210, E[obj] 13.2142,  9779.93 S/s, 1720320 total
   177.7s of 3600.0s  [106] batch 212, E[obj] 0.6504,  9715.60 S/s, 1736704 total
   179.4s of 3600.0s  [107] batch 214, E[obj] -18.4561,  9744.72 S/s, 1753088 total
   181.1s of 3600.0s  [108] batch 216, E[obj] 22.0561,  9727.74 S/s, 1769472 total
   182.7s of 3600.0s  [109] batch 218, E[obj] -22.2967,  9841.95 S/s, 1785856 total
   184.4s of 3600.0s  [110] batch 220, E[obj] -24.2489,  9695.24 S/s, 1802240 total
   186.1s of 3600.0s  [111] batch 222, E[obj] -21.1324,  9663.30 S/s, 1818624 total
   187.8s of 3600.0s  [112] batch 224, E[obj] -22.5592,  9944.24 S/s, 1835008 total
   189.5s of 3600.0s  [113] batch 226, E[obj] -15.7569,  9662.72 S/s, 1851392 total
   191.2s of 3600.0s  [114] batch 228, E[obj] -20.3128,  9692.00 S/s, 1867776 total
