Average ELBO, Average KL, Average Logp, SEM, Encoding Time, Decoding Time, Backward Time 
95.0769386845,15.3671646118,113.926094055,0.0421462187311,0.00293202627273,0.0027874935241,0.264189004898
108.463366901,16.5069351196,103.435531616,0.0421196704768,0.00274902298337,0.00267587956928,0.176910877228
97.1765273134,14.4835987091,102.818618774,0.0433444829352,0.00285182112739,0.00263313452403,0.267096996307
94.1684189977,13.6320724487,104.098449707,0.0468252842953,0.00280239468529,0.00270523343767,0.255613088608
97.3635437586,16.1320323944,123.659942627,0.0435608922652,0.00312467416128,0.00293215683528,0.250491142273
110.093806435,16.3152389526,123.84463501,0.042079363572,0.00284443015144,0.00263642129444,0.257982969284
100.963482766,15.4690999985,114.256889343,0.0428626454434,0.00263822646368,0.00249905813308,0.224995851517
95.6094567717,14.3760547638,71.0446624756,0.043034015006,0.00275026616596,0.00261953898839,0.21870303154
100.789478016,16.103761673,127.999740601,0.0417213247925,0.00267696948279,0.00253852776119,0.231817007065
111.594577615,16.7848491669,122.362182617,0.0417582593541,0.0026558297021,0.00255526815142,0.25874710083
107.066933382,16.02044487,113.480766296,0.0415086400719,0.00271486100696,0.00257062344324,0.251702070236
106.733983813,17.0459270477,56.43516922,0.0459187309618,0.00263111364274,0.00248641059512,0.199855089188
98.1047425555,15.9697160721,114.45438385,0.0446970748837,0.00283094247182,0.0025736945016,0.261473894119
102.756697238,15.8793735504,125.376663208,0.0416713166959,0.00286851042793,0.00269011656443,0.244033098221
108.397486199,15.3327302933,116.499336243,0.0418681333164,0.0045493273508,0.00413319610414,0.264806032181
98.7870053547,14.746931076,113.545684814,0.0457504154877,0.00298780486697,0.00263211840675,0.234992980957
98.6331859136,14.7668714523,115.633422852,0.049469279128,0.00298943973723,0.00278030690693,0.211675882339
100.649414267,14.2828235626,100.260726929,0.0426672342839,0.00271088168735,0.00255380358015,0.221755981445
103.970016551,15.3421058655,121.488830566,0.0429804780475,0.0028194416137,0.00257851396288,0.245767116547
101.631298848,14.7779321671,92.2331085205,0.0444224302565,0.00278578485761,0.00264558905647,0.26439499855
100.665449602,15.3684825897,114.410675049,0.040493884738,0.00287545862652,0.0026540302095,0.214179992676
107.678415621,15.3000926971,126.425888062,0.0407054623924,0.00273050013043,0.00260220255171,0.196076869965
102.582249936,15.7369480133,116.957931519,0.0429984147471,0.00277236529759,0.00258478664217,0.26774597168
91.1947816031,13.3982124329,103.917144775,0.0462513991804,0.0027479557764,0.00258896464393,0.244739055634
105.932101349,16.6945209503,129.022399902,0.041047601336,0.00272351787204,0.00259195622944,0.249073982239
106.346145385,16.0697498322,123.436431885,0.0429691496833,0.00289030869802,0.0027239265896,0.264190912247
101.01922337,14.6013736725,116.704475403,0.0434531232475,0.0027843997592,0.00259676433745,0.195183992386
106.42927559,15.9372348785,129.966186523,0.0415147185983,0.00277992657253,0.00260910533723,0.259427070618
109.796976901,15.543340683,122.529693604,0.0423737959628,0.00280081090473,0.0025999375752,0.265319108963
110.422966309,16.6785545349,136.510131836,0.0452538676246,0.00278978688376,0.00264502139319,0.249217033386
115.582369051,16.6649665833,114.144615173,0.0439356145529,0.00285001028152,0.00266194343567,0.259966135025
112.768946387,16.474822998,131.92678833,0.0423368949139,0.00292082627614,0.00268182868049,0.262766122818
113.034376366,16.4399757385,86.5444030762,0.0455418780932,0.00282808144887,0.00260659626552,0.268079042435
103.249274937,16.3595199585,125.228607178,0.0422798692412,0.00283384890783,0.00271109739939,0.216664075851
109.623371589,16.3818054199,124.378990173,0.0412853238902,0.0026075612931,0.00252341088795,0.271897792816
103.571208245,15.340555191,120.171401978,0.0427719947448,0.00255083470117,0.00247504029955,0.265177965164
109.269069258,16.1710014343,87.8895111084,0.0439159044327,0.0026665642148,0.00250861758278,0.253758192062
