{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '25',
 '--vis': None,
 '-o': 'vae_25',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 25 VAE samples per instance
Using a batchsize of 8192 instances
   133.3s of 3600.0s  [86] batch 172, E[obj] nan,  10530.67 S/s, 1409024 total
   134.9s of 3600.0s  [87] batch 174, E[obj] nan,  10592.26 S/s, 1425408 total
   136.5s of 3600.0s  [88] batch 176, E[obj] nan,  10438.59 S/s, 1441792 total
   138.0s of 3600.0s  [89] batch 178, E[obj] nan,  10686.57 S/s, 1458176 total
   139.6s of 3600.0s  [90] batch 180, E[obj] nan,  10269.25 S/s, 1474560 total
   141.1s of 3600.0s  [91] batch 182, E[obj] nan,  10665.81 S/s, 1490944 total
   142.7s of 3600.0s  [92] batch 184, E[obj] nan,  10616.00 S/s, 1507328 total
   144.2s of 3600.0s  [93] batch 186, E[obj] nan,  10439.21 S/s, 1523712 total
   145.9s of 3600.0s  [94] batch 188, E[obj] nan,  10108.26 S/s, 1540096 total
   147.4s of 3600.0s  [95] batch 190, E[obj] nan,  10687.77 S/s, 1556480 total
   148.9s of 3600.0s  [96] batch 192, E[obj] nan,  10550.09 S/s, 1572864 total
   150.5s of 3600.0s  [97] batch 194, E[obj] nan,  10541.11 S/s, 1589248 total
   152.0s of 3600.0s  [98] batch 196, E[obj] nan,  10632.31 S/s, 1605632 total
   153.6s of 3600.0s  [99] batch 198, E[obj] nan,  10718.04 S/s, 1622016 total
   155.1s of 3600.0s  [100] batch 200, E[obj] nan,  10654.08 S/s, 1638400 total
   156.7s of 3600.0s  [101] batch 202, E[obj] nan,  10587.61 S/s, 1654784 total
   158.3s of 3600.0s  [102] batch 204, E[obj] nan,  10246.47 S/s, 1671168 total
   160.0s of 3600.0s  [103] batch 206, E[obj] nan,  9593.99 S/s, 1687552 total
   161.5s of 3600.0s  [104] batch 208, E[obj] nan,  10478.43 S/s, 1703936 total
   163.1s of 3600.0s  [105] batch 210, E[obj] nan,  10554.36 S/s, 1720320 total
   164.7s of 3600.0s  [106] batch 212, E[obj] nan,  10395.64 S/s, 1736704 total
   166.2s of 3600.0s  [107] batch 214, E[obj] nan,  10714.76 S/s, 1753088 total
   167.7s of 3600.0s  [108] batch 216, E[obj] nan,  10676.80 S/s, 1769472 total
   169.3s of 3600.0s  [109] batch 218, E[obj] nan,  10649.25 S/s, 1785856 total
   170.8s of 3600.0s  [110] batch 220, E[obj] nan,  10707.10 S/s, 1802240 total
   172.3s of 3600.0s  [111] batch 222, E[obj] nan,  10734.15 S/s, 1818624 total
   173.8s of 3600.0s  [112] batch 224, E[obj] nan,  10690.29 S/s, 1835008 total
   175.4s of 3600.0s  [113] batch 226, E[obj] nan,  10586.07 S/s, 1851392 total
   176.9s of 3600.0s  [114] batch 228, E[obj] nan,  10696.89 S/s, 1867776 total
   178.5s of 3600.0s  [115] batch 230, E[obj] nan,  10684.61 S/s, 1884160 total
   180.0s of 3600.0s  [116] batch 232, E[obj] nan,  10625.56 S/s, 1900544 total
   181.6s of 3600.0s  [117] batch 234, E[obj] nan,  10513.50 S/s, 1916928 total
   183.1s of 3600.0s  [118] batch 236, E[obj] nan,  10476.16 S/s, 1933312 total
   184.7s of 3600.0s  [119] batch 238, E[obj] nan,  10667.32 S/s, 1949696 total
   186.2s of 3600.0s  [120] batch 240, E[obj] nan,  10631.40 S/s, 1966080 total
   187.7s of 3600.0s  [121] batch 242, E[obj] nan,  10613.92 S/s, 1982464 total
   189.3s of 3600.0s  [122] batch 244, E[obj] nan,  10674.61 S/s, 1998848 total
   190.8s of 3600.0s  [123] batch 246, E[obj] nan,  10695.79 S/s, 2015232 total
   192.3s of 3600.0s  [124] batch 248, E[obj] nan,  10624.91 S/s, 2031616 total
   193.9s of 3600.0s  [125] batch 250, E[obj] nan,  10624.95 S/s, 2048000 total
   195.4s of 3600.0s  [126] batch 252, E[obj] nan,  10676.08 S/s, 2064384 total
   197.0s of 3600.0s  [127] batch 254, E[obj] nan,  10392.43 S/s, 2080768 total
   198.7s of 3600.0s  [128] batch 256, E[obj] nan,  9803.80 S/s, 2097152 total
   200.2s of 3600.0s  [129] batch 258, E[obj] nan,  10620.44 S/s, 2113536 total
   201.9s of 3600.0s  [130] batch 260, E[obj] nan,  9953.09 S/s, 2129920 total
   203.4s of 3600.0s  [131] batch 262, E[obj] nan,  10666.81 S/s, 2146304 total
   205.0s of 3600.0s  [132] batch 264, E[obj] nan,  10526.82 S/s, 2162688 total
   206.5s of 3600.0s  [133] batch 266, E[obj] nan,  10707.35 S/s, 2179072 total
   208.0s of 3600.0s  [134] batch 268, E[obj] nan,  10623.50 S/s, 2195456 total
   209.6s of 3600.0s  [135] batch 270, E[obj] nan,  10600.29 S/s, 2211840 total
   211.1s of 3600.0s  [136] batch 272, E[obj] nan,  10474.14 S/s, 2228224 total
   212.7s of 3600.0s  [137] batch 274, E[obj] nan,  10553.19 S/s, 2244608 total
   214.2s of 3600.0s  [138] batch 276, E[obj] nan,  10608.49 S/s, 2260992 total
   215.7s of 3600.0s  [139] batch 278, E[obj] nan,  10814.63 S/s, 2277376 total
   217.3s of 3600.0s  [140] batch 280, E[obj] nan,  10756.82 S/s, 2293760 total
   218.8s of 3600.0s  [141] batch 282, E[obj] nan,  10581.27 S/s, 2310144 total
   220.3s of 3600.0s  [142] batch 284, E[obj] nan,  10746.05 S/s, 2326528 total
   221.9s of 3600.0s  [143] batch 286, E[obj] nan,  10750.90 S/s, 2342912 total
   223.4s of 3600.0s  [144] batch 288, E[obj] nan,  10717.04 S/s, 2359296 total
   224.9s of 3600.0s  [145] batch 290, E[obj] nan,  10560.64 S/s, 2375680 total
   226.5s of 3600.0s  [146] batch 292, E[obj] nan,  10591.30 S/s, 2392064 total
   228.0s of 3600.0s  [147] batch 294, E[obj] nan,  10820.71 S/s, 2408448 total
   229.6s of 3600.0s  [148] batch 296, E[obj] nan,  10629.38 S/s, 2424832 total
   231.1s of 3600.0s  [149] batch 298, E[obj] nan,  10631.31 S/s, 2441216 total
   232.6s of 3600.0s  [150] batch 300, E[obj] nan,  10595.83 S/s, 2457600 total
   234.2s of 3600.0s  [151] batch 302, E[obj] nan,  10659.30 S/s, 2473984 total
   235.7s of 3600.0s  [152] batch 304, E[obj] nan,  10833.52 S/s, 2490368 total
   237.2s of 3600.0s  [153] batch 306, E[obj] nan,  10842.92 S/s, 2506752 total
   238.7s of 3600.0s  [154] batch 308, E[obj] nan,  10784.72 S/s, 2523136 total
   240.2s of 3600.0s  [155] batch 310, E[obj] nan,  10733.47 S/s, 2539520 total
   # sampling
   241.8s of 3600.0s  [156] batch 312, E[obj] nan,  10542.46 S/s, 2555904 total
   243.3s of 3600.0s  [157] batch 314, E[obj] nan,  10771.22 S/s, 2572288 total
   244.8s of 3600.0s  [158] batch 316, E[obj] nan,  10804.05 S/s, 2588672 total
   246.4s of 3600.0s  [159] batch 318, E[obj] nan,  10799.75 S/s, 2605056 total
   247.9s of 3600.0s  [160] batch 320, E[obj] nan,  10856.78 S/s, 2621440 total
   249.4s of 3600.0s  [161] batch 322, E[obj] nan,  10650.31 S/s, 2637824 total
   250.9s of 3600.0s  [162] batch 324, E[obj] nan,  10654.24 S/s, 2654208 total
   252.5s of 3600.0s  [163] batch 326, E[obj] nan,  10786.88 S/s, 2670592 total
   254.0s of 3600.0s  [164] batch 328, E[obj] nan,  10712.52 S/s, 2686976 total
   255.5s of 3600.0s  [165] batch 330, E[obj] nan,  10722.22 S/s, 2703360 total
